ts_code,name,factor,mean_beta,std_beta,min_beta,max_beta,range_beta,sign_changes
300716.SZ,300716.SZ,MKT,1.1597740960188367,0.2682007945694405,0.5769518200037415,1.8962175096544813,1.3192656896507398,0
300716.SZ,300716.SZ,SMB,1.155904039915836,0.2922287522785991,0.3665457639372538,1.827717589641332,1.4611718257040782,0
300716.SZ,300716.SZ,HML,-0.19128216373731727,0.4628434915033859,-1.7243556941983251,0.8797780314329463,2.6041337256312715,34
300716.SZ,300716.SZ,UMD,0.010447283462999687,0.2552535971421741,-0.6530163714586562,0.5203543449601854,1.1733707164188416,35
300537.SZ,300537.SZ,MKT,1.1941145342157045,0.23495331551282828,0.6750337431708182,1.7348564172399814,1.0598226740691632,0
300537.SZ,300537.SZ,SMB,0.18253380316399523,0.5428595498013605,-0.7487990461047846,1.9612754796579948,2.7100745257627796,27
300537.SZ,300537.SZ,HML,-0.955744696081918,0.39751578450009706,-1.722937519979162,-0.12013788313796214,1.6027996368411999,0
300537.SZ,300537.SZ,UMD,-0.06050267801646681,0.28855512121596877,-0.7430331701216851,0.735817099550288,1.4788502696719732,47
301209.SZ,301209.SZ,MKT,1.0461826370280867,0.17678534737814505,0.622756450797919,1.3373565136185925,0.7146000628206736,0
301209.SZ,301209.SZ,SMB,0.5689745755652711,0.3595692012494576,-0.10911958959556814,1.0448451499750604,1.1539647395706285,3
301209.SZ,301209.SZ,HML,0.2242941996893153,0.34168302935399897,-0.38224511881936774,0.9758845646195324,1.3581296834389,5
301209.SZ,301209.SZ,UMD,0.2685318831530644,0.4885810500911171,-0.5444932784139366,1.1856073684013253,1.730100646815262,1
002156.SZ,002156.SZ,MKT,1.0673802331438353,0.21010660339924714,0.7540503836943624,1.6375628155435467,0.8835124318491843,0
002156.SZ,002156.SZ,SMB,-0.5264253700195676,0.4685538024695852,-1.6992793642904735,0.3829057148705016,2.082185079160975,23
002156.SZ,002156.SZ,HML,-1.0376978227519924,0.6192716960231532,-3.1475734247737437,-0.0853995481572617,3.062173876616482,0
002156.SZ,002156.SZ,UMD,0.02072734879019797,0.30136356257809943,-0.8763002507952826,0.8071961676798199,1.6834964184751025,46
